country,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares
IN,6841,6045,53,36.82,0,0,0,0,0,0
DE,221,280,76,40.27,0,0,0,0,0,0
CA,146,255,104,55.47,0,0,0,0,0,0
US,109,170,93,52.39,0,0,0,0,0,0
GB,94,117,75,39.69,0,0,0,0,0,0
