country,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares,refresh_datetime
IN,6839,6045,53,36.83,0,0,0,0,0,0,2025-09-15
DE,220,281,76,40.55,0,0,0,0,0,0,2025-09-15
CA,146,255,104,55.47,0,0,0,0,0,0,2025-09-15
US,108,167,92,51.93,0,0,0,0,0,0,2025-09-15
GB,93,117,75,40.08,0,0,0,0,0,0,2025-09-15
