averageViewDuration,averageViewPercentage,comments,estimatedMinutesWatched,from_date_time,likes,refresh_date,shares,subscribersGained,subscribersLost,to_date_time,video,views
21,140.74,0,0,2025-09-16,0,2025-09-18T12:44:17-07:00,0,0,0,2025-09-16,UsVD0qAiIVs,2
53,36.85,2,6104,2025-08-29,5,2025-09-18T12:44:16-07:00,12,1,0,2025-09-16,__1LeDEl9zA,6902
86,45.54,0,806,2025-09-10,4,2025-09-18T12:44:17-07:00,3,2,0,2025-09-16,sQYBynXKjv4,562
__1LeDEl9zA,6902,6104,53,36.85,1,0,5,2,12,2025-08-29,2025-09-16,2025-09-18T12:49:50-07:00
sQYBynXKjv4,562,806,86,45.54,2,0,4,0,3,2025-09-10,2025-09-16,2025-09-18T12:49:50-07:00
UsVD0qAiIVs,2,0,21,140.74,0,0,0,0,0,2025-09-16,2025-09-16,2025-09-18T12:49:50-07:00
