video,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,comments,shares,refresh_datetime
__1LeDEl9zA,6906,6107,53,36.84,2,0,6,2,15,2025-09-15
sQYBynXKjv4,557,805,86,45.89,2,0,3,0,3,2025-09-15
