insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,refresh_datetime
ADVERTISING,7373,6823,55,37.71,2025-09-15
NO_LINK_OTHER,27,41,91,57.15,2025-09-15
YT_SEARCH,24,23,59,39.31,2025-09-15
YT_CHANNEL,20,14,43,26.729999999999997,2025-09-15
EXT_URL,10,10,60,35.44,2025-09-15
SUBSCRIBER,4,2,32,21.51,2025-09-15
YT_OTHER_PAGE,4,1,29,20.18,2025-09-15
RELATED_VIDEO,1,0,3,2.72,2025-09-15
