video,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,comments,shares
__1LeDEl9zA,6906,6107,53,36.84,2,0,6,2,15
sQYBynXKjv4,555,802,86,45.89,2,0,3,0,2
